material,analyte,initial_activity_bq_ml,final_activity_bq_ml,remaining_activity_pct,kd_ml_g,equilibration_time_h,sample_volume_ml,material_mass_g,source_table
4A,Gross beta-gamma,146,26.1,17.876712,91.88,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
13X-CFC,Gross beta-gamma,146,9.95,6.8150685,273.47,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
HMO-PU,Gross beta-gamma,146,31.5,21.575342,72.7,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
CFC-PU,Gross beta-gamma,146,7.78,5.3287671,355.32,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
4A,90Sr,15,1.3,8.6666667,210.77,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
13X-CFC,90Sr,15,0.85,5.6666667,332.94,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
HMO-PU,90Sr,15,0.83,5.5333333,341.45,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
CFC-PU,90Sr,15,0.15,1,1980,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
4A,137Cs,68,7,10.294118,174.29,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
13X-CFC,137Cs,68,2,2.9411765,660,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
HMO-PU,137Cs,68,22,32.352941,41.82,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
CFC-PU,137Cs,68,0.4,0.58823529,3380,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
4A,99Tc,34.8,16.5,47.413793,22.18,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
13X-CFC,99Tc,34.8,6.25,17.95977,91.36,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
HMO-PU,99Tc,34.8,7.84,22.528736,68.78,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
CFC-PU,99Tc,34.8,7.0823,20.351437,78.31,6,20,1,"M.Tech thesis, Table 3.1 and Table 3.2"
