material,analyte,initial_activity_bq_ml,final_activity_bq_ml,remaining_activity_pct,kd_ml_g,equilibration_time_h,sample_volume_ml,material_mass_g,source
4A,Gross beta-gamma,146.0,26.1,17.876712328767123,91.88,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
4A,90Sr,15.0,1.3,8.666666666666668,210.77,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
4A,137Cs,68.0,7.0,10.294117647058822,174.29,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
4A,99Tc,34.8,16.5,47.413793103448285,22.18,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
13X-CFC,Gross beta-gamma,146.0,9.95,6.815068493150685,273.47,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
13X-CFC,90Sr,15.0,0.85,5.666666666666666,332.94,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
13X-CFC,137Cs,68.0,2.0,2.941176470588235,660.0,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
13X-CFC,99Tc,34.8,6.25,17.95977011494253,91.36,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
HMO-PU,Gross beta-gamma,146.0,31.5,21.575342465753426,72.7,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
HMO-PU,90Sr,15.0,0.83,5.533333333333333,341.45,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
HMO-PU,137Cs,68.0,22.0,32.35294117647059,41.82,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
HMO-PU,99Tc,34.8,7.84,22.52873563218391,68.78,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
CFC-PU,Gross beta-gamma,146.0,7.78,5.328767123287672,355.32,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
CFC-PU,90Sr,15.0,0.15,1.0,1980.0,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
CFC-PU,137Cs,68.0,0.4,0.5882352941176471,3380.0,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
CFC-PU,99Tc,34.8,7.08,20.344827586206897,78.31,6,20,1,"M.Tech thesis, Tables 3.1–3.2"
