material,time_h,gross_beta_gamma_bq_ml,cs137_bq_ml,sr90_bq_ml,estimated_ru100_bq_ml,remaining_activity_pct,kd_cs_ml_g,kd_sr_ml_g,kd_ru_ml_g
4A,0,1.8,0.4,0.02,1.36,111.11,230.0,2140.0,16.47
4A,6,1.58,0.7,0.04,0.8,129.37,122.86,1060.0,42.0
4A,12,1.91,0.9,0.02,0.97,103.56,91.11,2140.0,31.13
4A,18,1.8,0.4,0.16,1.08,111.11,230.0,250.0,25.93
4A,24,1.88,0.4,0.02,1.44,105.53,230.0,2140.0,14.44
4A,30,2.26,0.2,0.02,2.02,84.42,480.0,2140.0,4.55
13X-CFC,0,0.36,0.3,0.02,0.03,635.56,313.33,2680.0,1751.43
13X-CFC,6,0.61,0.55,0.02,0.02,366.89,161.82,2140.0,2460.0
13X-CFC,12,0.86,0.7,0.07,0.03,254.42,122.86,624.78,1887.69
13X-CFC,18,0.88,0.3,0.28,0.02,248.18,313.33,134.29,2460.0
13X-CFC,24,0.66,0.4,0.02,0.22,337.58,230.0,2140.0,205.45
13X-CFC,30,0.77,0.3,0.02,0.44,286.49,313.33,2680.0,93.24
