material,pH,gross_beta_remaining_pct,cs137_bq_ml,kd_cs_ml_g,sr90_bq_ml,kd_sr_ml_g,tc99_bq_ml,kd_tc_ml_g
4A,3,0.692,0.08,253.41,0.172,980.0,0.0532,1280.75
4A,6,0.832,0.1,207.4,0.054,780.0,0.049,1392.24
4A,7,0.75,0.11,232.27,0.084,707.27,0.082,823.9
4A,9,0.659,0.17,267.1,0.081,450.59,0.044,1552.73
4A,11,0.46,0.1,391.3,0.098,780.0,0.036,1902.22
13X-CFC,3,0.188,0.03,986.38,0.052,2646.67,0.014,4922.86
13X-CFC,6,0.14,0.13,1331.43,0.01,595.38,0.003,23046.67
13X-CFC,7,0.135,0.08,1381.48,0.042,980.0,0.062,1096.13
13X-CFC,9,0.152,0.09,1224.74,0.054,868.89,0.061,1114.43
13X-CFC,11,0.447,0.27,403.27,0.034,276.3,0.145,457.24
