bed_volumes,gross_beta_4a_bq_ml,gross_beta_13x_bq_ml,df_gross_4a,df_gross_13x,cs137_4a_bq_ml,cs137_13x_bq_ml,df_cs137_4a,df_cs137_13x,sr90_4a_bq_ml,sr90_13x_bq_ml
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.46,1.41,17.61,1.03,0.2,0.2,63.0,1.0,438.69,3.56
200,1.02,1.02,25.29,1.0,0.7,0.2,18.0,3.5,26.24,1.25
300,1.12,0.88,22.94,1.27,0.4,0.2,31.5,2.0,15.73,1.81
400,0.79,0.55,32.37,1.43,0.3,0.2,42.0,1.5,24.61,1.5
500,1.15,0.98,22.28,1.17,0.4,0.2,31.5,2.0,24.6,1.75
600,0.9,0.79,28.66,1.13,0.2,0.02,63.0,10.0,57.44,4.51
700,1.05,1.04,24.41,1.02,0.2,0.1,63.0,2.0,12.31,2.33
800,1.19,1.04,21.62,1.15,0.8,0.3,63.0,2.67,28.02,13.79
900,1.37,0.79,18.72,1.73,0.2,0.2,63.0,1.0,96.22,16.0
1000,1.1,1.03,23.35,1.07,0.1,0.1,75.0,1.0,111.41,1.0
1100,0.99,0.78,25.94,1.27,0.1,0.1,76.0,1.0,34.66,1.87
1200,1.03,0.83,24.94,1.25,0.2,0.2,63.0,1.0,292.46,2.68
1300,0.91,0.74,28.18,1.23,0.2,0.1,63.0,2.0,102.02,86.0
1400,0.62,0.55,41.26,1.12,0.3,0.2,42.0,1.5,69.8,1.47
1500,0.88,0.83,29.2,1.06,0.4,0.2,31.5,2.0,30.94,4.17
