bed_volumes,gross_beta_4a_bq_ml,gross_beta_13x_bq_ml,df_gross_4a,df_gross_13x,cs137_4a_bq_ml,cs137_13x_bq_ml,df_cs137_4a,df_cs137_13x,sr90_4a_bq_ml,sr90_13x_bq_ml,df_sr90_4a,df_sr90_13x
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.69,0.26,30.03,79.01,0.3,0.2,48.33,72.5,0.04,0.03,24.5,32.45
200,1.05,0.97,19.64,21.42,0.9,1.6,16.11,9.06,0.1,0.03,11.36,36.43
300,1.35,0.94,15.28,22.06,1.2,1.2,12.08,12.08,0.05,0.04,21.82,29.81
400,1.09,0.61,19.06,34.17,0.5,0.9,29.0,16.11,0.03,0.04,42.97,30.07
500,1.07,0.38,19.37,54.06,0.4,0.2,36.25,72.5,0.01,0.01,120.4,171.88
600,1.87,0.61,11.04,34.17,1.3,0.6,11.15,24.17,0.01,0.0,152.1,608.42
700,1.37,0.5,15.13,41.14,0.9,0.4,16.11,36.25,0.01,0.04,88.14,26.25
800,1.8,0.3,11.5,70.07,2.0,0.1,7.25,145.0,0.05,0.03,23.91,34.17
900,3.22,0.37,6.43,55.38,2.3,0.1,6.3,145.0,0.08,0.08,13.13,14.03
1000,3.25,0.76,6.37,27.33,3.0,0.1,4.83,145.0,0.12,0.07,8.87,14.79
1100,4.6,0.53,4.5,38.79,3.8,0.1,3.82,145.0,0.12,0.07,8.88,15.21
1200,4.93,0.4,4.2,51.61,4.8,0.1,3.02,145.0,0.13,0.08,8.59,12.97
1300,5.65,0.64,3.67,32.51,5.0,0.1,2.9,145.0,0.22,0.09,4.94,12.43
1400,4.37,0.67,4.73,30.89,4.9,0.2,2.96,72.5,0.19,0.11,5.71,10.38
1500,6.56,0.63,3.16,32.9,6.1,0.3,2.38,48.33,0.22,0.15,4.94,7.52
1600,7.95,0.81,2.6,25.5,7.9,0.4,1.84,36.25,0.26,0.12,4.3,9.0
1700,10.7,0.85,1.93,24.34,9.0,0.1,1.61,145.0,0.44,0.14,2.51,7.79
1800,9.1,0.88,2.27,23.47,9.8,0.2,1.48,72.5,0.39,0.18,2.83,6.06
1900,9.1,0.98,2.27,21.04,9.8,0.1,1.48,145.0,0.48,0.21,2.29,5.34
2000,9.1,0.95,2.27,21.68,9.9,0.1,1.46,145.0,0.35,0.3,3.15,3.7
2100,11.6,1.0,1.78,20.64,9.4,0.1,1.54,145.0,0.3,0.26,3.71,4.24
2200,13.2,0.6,1.57,34.53,10.2,0.1,1.42,145.0,0.37,0.28,2.94,3.87
2300,9.9,0.79,2.09,26.22,9.5,0.1,1.53,145.0,0.28,0.22,3.9,4.95
2400,11.6,0.85,1.78,24.28,10.2,0.1,1.42,145.0,0.41,0.18,2.71,6.02
2500,11.3,1.04,1.83,19.9,9.7,0.1,1.49,145.0,0.79,0.27,1.4,4.12
2600,11.9,1.2,1.74,17.25,9.0,0.1,1.61,145.0,0.85,0.58,1.3,1.91
2700,11.6,1.42,1.78,14.6,10.3,0.1,1.41,145.0,0.78,0.66,1.41,1.67
2800,11.7,1.49,1.77,13.92,10.8,0.1,1.34,145.0,0.79,0.48,1.39,2.27
2900,11.9,1.64,1.74,12.61,11.0,0.1,1.32,145.0,0.76,0.65,1.44,1.69
3000,11.52,1.69,1.8,12.27,11.3,0.1,1.28,145.0,0.7,0.66,1.57,1.66
3100,11.33,1.32,1.83,15.69,11.0,0.1,1.32,145.0,0.71,0.63,1.55,1.74
3200,11.4,1.32,1.82,15.63,11.3,0.1,1.28,145.0,0.72,0.67,1.53,1.65
3300,11.49,1.46,1.8,14.17,11.0,0.1,1.32,145.0,0.71,0.65,1.55,1.68
3800,11.9,1.59,1.74,13.0,12.5,0.3,1.16,48.33,0.82,0.71,1.34,1.56
4400,12.29,1.8,1.68,11.5,12.1,0.3,1.2,48.33,0.78,0.65,1.41,1.7
5100,12.9,2.11,1.6,9.81,12.6,0.7,1.15,20.71,0.85,0.67,1.29,1.64
5900,14.1,2.65,1.47,7.81,13.7,0.9,1.06,16.11,0.95,0.72,1.16,1.53
6500,14.5,2.94,1.43,7.04,14.1,1.1,1.03,13.18,1.09,0.76,1.01,1.45
