days,leach_rate_g_cm2_day,cumulative_fraction_leached,source
1,0.0017,0.0017,"M.Tech thesis, Table 4.2"
4,0.000375,0.00207,"M.Tech thesis, Table 4.2"
5,0.00104,0.00311,"M.Tech thesis, Table 4.2"
6,0.000226,0.00334,"M.Tech thesis, Table 4.2"
7,0.000248,0.00359,"M.Tech thesis, Table 4.2"
8,0.000656,0.00424,"M.Tech thesis, Table 4.2"
9,0.000121,0.00437,"M.Tech thesis, Table 4.2"
12,0.000102,0.00447,"M.Tech thesis, Table 4.2"
15,0.000231,0.0047,"M.Tech thesis, Table 4.2"
19,0.000128,0.00483,"M.Tech thesis, Table 4.2"
22,0.000151,0.00498,"M.Tech thesis, Table 4.2"
28,9.42e-06,0.00499,"M.Tech thesis, Table 4.2"
35,0.000162,0.00515,"M.Tech thesis, Table 4.2"
44,8.79e-05,0.00524,"M.Tech thesis, Table 4.2"
50,0.000113,0.00535,"M.Tech thesis, Table 4.2"
62,0.000188,0.00554,"M.Tech thesis, Table 4.2"
